node_id	label	community_cid	community_label	source_file	source_url
awesomedata__awesome-public-datasets_repo	awesomedata/awesome-public-datasets	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
awesomedata__awesome-public-datasets_opendata	Open Datasets Collection	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
awesomedata__awesome-public-datasets_topic_datasets	Topic: datasets	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
awesomedata__awesome-public-datasets_topic_opendata	Topic: opendata	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
msitarzewski__agency-agents_repo	msitarzewski/agency-agents	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
msitarzewski__agency-agents_concept_ai_agency	AI Agency (Multi-Role Agent System)	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
msitarzewski__agency-agents_concept_frontend_wizard	Frontend Wizard Agent	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
msitarzewski__agency-agents_concept_shell	Shell Language	6	🎭 swarms &amp; teams	openclaw/spellbook-homework/msitarzewski__agency-agents.md	
nicedreamzapp__claude-code-local_repo	nicedreamzapp/claude-code-local	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_local_ai	Local AI on Apple Silicon	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_claude_code	Claude Code	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_google_turboquant	Google TurboQuant	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
nicedreamzapp__claude-code-local_concept_python	Python Language	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
phiat__claude-esp_repo	phiat/claude-esp	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
phiat__claude-esp_concept_stream_output	Real-time Claude Code Output Streaming	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
phiat__claude-esp_concept_tui	TUI (Terminal UI)	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
phiat__claude-esp_concept_go	Go Language	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
concept_nickarchuleta	nickarchuleta (GitHub User)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
concept_spellbook_stub	Spellbook Stub (Graphify Placeholder)	3	📂 living files on disk · caveman · 3	openclaw/spellbook-homework/awesomedata__awesome-public-datasets.md	
concept_apple_silicon	Apple Silicon	1	📂 living files on disk · claude · 1	openclaw/spellbook-homework/nicedreamzapp__claude-code-local.md	
concept_subagents	Claude Code Subagents	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
concept_tool_calls	Tool Calls (AI Agent)	4	📊 Agent HUDs &amp; Monitoring	openclaw/spellbook-homework/phiat__claude-esp.md	
awesomeaitools_curated_ai_coding_tools	awesome-ai-tools/curated-ai-coding-tools	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_ai_coding_tools_topic	AI Coding Tools (Curated List)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_aider	Aider (AI Coding Tool)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_cursor	Cursor (AI IDE)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_copilot	GitHub Copilot	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
awesomeaitools_topic_claude_code	Claude Code (AI Coding Tool)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
storybookjs_addon_designs	storybookjs/addon-designs	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
storybookjs_storybook	Storybook	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
storybookjs_figma	Figma	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
storybookjs_addon_designs_typescript	TypeScript	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/storybookjs__addon-designs.md	
anthropics_claude_quickstarts	anthropics/claude-quickstarts	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_api	Claude API	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_customer_support_agent	Customer Support Agent Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_financial_data_analyst	Financial Data Analyst Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_computer_use_demo	Computer Use Demo Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_browser_tools_api_demo	Browser Tools API Demo Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_autonomous_coding_agent	Autonomous Coding Agent Quickstart	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_agent_sdk	Claude Agent SDK	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_cookbooks	Claude Cookbooks	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
anthropics_claude_code_repo	anthropics/claude-code	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/anthropics__claude-code.md	
anthropics_claude_code_concept	Claude Code (Agentic Terminal Tool)	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/anthropics__claude-code.md	
nickarchuleta_spellbook	nickarchuleta GitHub Spellbook	5	🧠 Karpathy &amp; Research Foundry	openclaw/spellbook-homework/awesome-ai-tools__curated-ai-coding-tools.md	
playwright_browser_automation	Playwright (Browser Automation)	2	🔥 harnesses &amp; CLIs · xble · 2	openclaw/spellbook-homework/anthropics__anthropic-quickstarts.md	
docling_docling	Docling (IBM Research Document Parser)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_doclingdocument	DoclingDocument (Unified IR)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_layoutmodel	DiT Layout Model	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_tableformer	TableFormer Table Structure Model	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_ocrlayer	OCR Layer (EasyOCR / Tesseract)	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_llamaindex_integration	LlamaIndex DoclingReader Integration	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
docling_langchain_integration	LangChain DoclingLoader Integration	7	📦 Datasets &amp; Data Tools	openclaw/spellbook-homework/docling-project__docling.md	
